concept,layer,direction,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9,logit_10
afraid,0,top, Kat, dali,Kat,сім, Vanderbilt, বলেন,方針,UJ, Manny,"."".",70.4504,67.9164,67.8850,67.7994,66.3922,65.0870,64.0238,61.5858,61.3089,60.5999
afraid,0,bottom, Develop,회, Desar,Develop, Share,pe, desarrollar,チュラル,Share,揚,-73.9111,-70.1458,-68.8519,-66.3505,-64.0938,-61.3285,-59.6227,-59.4696,-59.0529,-58.4504
afraid,1,top, 끼, చే,MEDI,adero,FAC, convene,fac,og,ungsver, disapp,75.4161,69.2066,68.2202,67.6049,67.0306,65.4947,65.4374,62.5995,62.1568,61.3430
afraid,1,bottom,lify, ball,ball, Parkland,Do, Ball,Ball,ություն, mmHg, Pinch,-61.5434,-59.0407,-59.0000,-58.1717,-57.3578,-57.0632,-55.4573,-54.7745,-54.5453,-54.1422
afraid,2,top,SegmentInfo, oda,VAT,ári,idges,/</, disapp,十二章,TestAction,BEL,79.2774,78.4498,75.0484,73.4153,72.1232,71.8103,71.4207,71.1460,70.1412,70.0928
afraid,2,bottom,acy,애,thood,ություն,te,lação,ync, shape, دور,adah,-60.3953,-58.1398,-53.1879,-53.0668,-50.1777,-49.0180,-48.9948,-48.5512,-48.4578,-48.2071
afraid,3,top,KINS,しろ,SegmentInfo,彡,",-", Chevron, Jost,"]"";", negat, كند,85.8660,85.4499,84.9909,78.7906,78.5755,78.1246,76.4594,76.3230,74.9036,74.7476
afraid,3,bottom,rys,azi,INTERNAL,ạn,otti,Enum,angu,Passive,ANSI,Роз,-56.6566,-51.3605,-47.7406,-46.9775,-46.3016,-45.5630,-44.6498,-44.4136,-44.2355,-43.7543
afraid,4,top,SegmentInfo,sız, ayudas, struck,LOUIS, vormen, nug, chiller,situation,]'),105.5434,87.4770,76.7719,75.4380,74.9291,74.9208,73.7908,73.7110,73.4943,73.4582
afraid,4,bottom,애,ans,앗,Res,anni,ull,Роз,addon,APP, hing,-54.5582,-53.8743,-52.0496,-51.1792,-49.4400,-48.9274,-47.9032,-47.6056,-47.5727,-46.6494
afraid,5,top,SegmentInfo,rivel, yScale, evol,>';, ew, pur,츄,kker, Eb,118.8753,73.0218,70.3389,67.5913,67.5530,67.2722,66.8919,66.7717,66.6843,66.4129
afraid,5,bottom, उम्मीद, Sponsored,Todos,焼き, отношению,見て,Sponsored, লেগে,Ask, unsatisf,-61.9227,-61.5801,-61.3751,-59.8352,-56.9524,-56.8021,-55.2981,-54.9126,-54.8157,-54.7026
afraid,6,top,SegmentInfo, contractName, fare, clutter,)(&,}%, inspector, plumb,"""]).", fastest,70.3485,69.8562,69.3558,68.8689,68.3180,68.2756,68.0481,67.4204,66.8830,66.1939
afraid,6,bottom,这个问题,undi,avr,Addo,Ask,pox, Inici, Linden, નહીં,ستم,-69.8690,-68.9478,-67.4629,-67.4234,-66.9869,-64.9175,-61.8901,-61.2090,-61.0236,-60.5776
