concept,layer,direction,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9,logit_10
pc1_valence,0,top,ิด,ikala, tras,堂,Ses,회,umption,すみ,ívar, off,78.5741,74.4301,70.1727,69.8530,69.2653,69.1762,67.5727,66.5988,66.0639,65.9787
pc1_valence,0,bottom,..', لی,"%""",ylate,"..""",さんに, McCr, MBP," ,""", বলেন,-69.5859,-60.8874,-56.4489,-56.2937,-55.8069,-55.2382,-54.5631,-54.3282,-54.1460,-53.5613
pc1_valence,1,top,fir, ste,цыі,).*,ذج,""")}}",を生,).$$, зака, vern,55.9447,55.5984,55.2280,55.2096,53.7302,51.9523,51.1315,50.9298,50.4572,50.1055
pc1_valence,1,bottom, trich, Assistance,sej, échant,祐,.., pade, Scheme, sam, secretions,-71.9664,-66.9325,-66.5689,-65.6176,-63.9676,-63.8761,-63.5628,-63.2377,-62.1710,-61.9291
pc1_valence,2,top,fir, दौरा, دور,душ,是将,""")}}",ionized,).*,nullable,%+,55.1235,50.9264,50.5521,50.2761,49.3641,47.0416,46.7251,46.6260,45.9365,45.8282
pc1_valence,2,bottom,crim, ogn, disapp,apel, lett,Crawler,TestAction, 九, nob, Cat,-72.9103,-72.4036,-71.8393,-70.2723,-70.2151,-69.7480,-69.4708,-68.8773,-68.8214,-68.7870
pc1_valence,3,top,otti,动,coin, divis, produkty,imaan, coin,orso,ance, animate,62.9909,56.3504,54.2167,52.5351,51.8336,51.3639,51.3271,51.0910,51.0051,49.7722
pc1_valence,3,bottom,しろ,名は,folger, jawa,bres,leader,刷,sPath,rame,"​,",-85.6931,-79.7504,-72.6849,-71.2757,-70.8853,-70.7133,-70.5334,-70.4405,-70.1522,-70.0391
pc1_valence,4,top,ansi, Peres, divis,ความเป็น,ains,ünü,ans,nez,orso,ases,66.9951,59.8533,58.0977,55.7823,55.6237,55.3713,54.8049,54.8026,54.6728,54.3623
pc1_valence,4,bottom, ماه,يتر,sugar, н, #(,ตาล,—., soorten, slated, ใด,-82.6015,-81.3228,-76.9367,-75.8068,-75.3729,-74.3689,-74.0561,-73.9120,-73.4745,-73.4202
pc1_valence,5,top,ansi,geno,ご確認ください, invisible, sente,inoff,invisible,Todos,感到,ünü,67.3777,67.0276,65.6558,59.8711,58.9580,58.8382,57.9262,56.7588,56.2690,55.5180
pc1_valence,5,bottom, soorten,SegmentInfo,>], registrar,strom, Eb, supr,(:,(/(,ồ,-78.2666,-75.9417,-75.1692,-74.8541,-73.6996,-72.0990,-71.9853,-71.9128,-71.2694,-70.6783
pc1_valence,6,top,ibals,这个问题,ansi,ulo,ستم,inoff, Beni,Addo,Alone, divis,74.9214,69.0860,68.0192,66.9500,66.2597,65.5949,64.1756,62.5628,61.6251,61.1132
pc1_valence,6,bottom,bub, sunset, debates, freed," [,",திர,(^, soorten, صاح, Etc,-78.3618,-73.1728,-72.2451,-71.0386,-69.1679,-68.9158,-68.1208,-67.7455,-67.7256,-67.4010
pc1_valence,7,top, EDITION, topi, arti,isku,Married,により, divis,上の,打了, encant,70.8342,70.2906,66.7781,66.5163,64.0157,63.7166,63.1436,62.8589,62.7023,62.1807
